player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label
343027;D. Doué;85;Paris Saint Germain;Paris Saint Germain / Rennes;Attacker;1734.0;high;True;False;86.3;92.6;92.8;82.1;79.3;81.6;86.2;82.4;84.7;2.4;87.1;72.8;5.5;En hausse;Élevée;5.0;60.9;15.0;En hausse
153;O. Dembélé;85;Paris Saint Germain;Paris Saint Germain;Attacker;1736.0;high;True;False;92.3;92.9;88.9;71.9;47.6;51.5;80.5;88.7;83.8;2.4;86.2;67.2;-12.0;En baisse;Moyenne;3.0;60.9;15.0;En hausse
483;K. Kvaratskhelia;85;Paris Saint Germain;Paris Saint Germain;Attacker;920.0;medium;True;False;85.3;89.9;88.1;79.4;61.6;72.9;82.6;84.9;83.5;2.3;85.8;88.0;12.0;En hausse;Moyenne;3.0;60.9;15.0;En hausse
25008;J. Clauss;84;Nice;Nice / Marseille;Defender;2311.0;high;True;False;71.1;93.6;87.1;63.5;86.1;76.3;82.6;84.0;83.1;2.3;85.4;71.8;0.8;Stable;Élevée;5.0;68.3;-12.0;En baisse
326068;K. Doumbia;106;Stade Brestois 29;Stade Brestois 29 / Reims;Midfielder;1316.0;medium;True;False;80.8;91.8;90.6;87.3;86.3;81.3;87.2;75.3;82.4;2.4;84.8;76.2;3.6;En hausse;Élevée;5.0;48.8;4.0;En hausse
137303;E. Guessand;84;Nice;Nice;Attacker;2575.0;high;True;False;88.4;74.9;83.4;82.5;64.1;75.4;83.0;80.3;81.9;2.4;84.3;81.4;12.0;En hausse;Moyenne;4.0;68.3;-12.0;En baisse
156477;R. Cherki;80;Lyon;Lyon;Midfielder;2054.0;high;True;False;86.8;93.4;91.4;83.8;47.0;62.2;78.1;87.6;81.9;2.3;84.2;84.4;1.5;Stable;Élevée;5.0;51.3;4.0;En hausse
129695;D. Bakwa;95;Strasbourg;Strasbourg;Attacker;2509.0;high;True;False;81.4;86.4;88.5;74.3;56.6;78.9;81.1;82.6;81.7;2.3;83.9;71.7;-7.7;En baisse;Élevée;5.0;44.5;-15.0;En baisse
927;Lee Kang-In;85;Paris Saint Germain;Paris Saint Germain;Midfielder;1665.0;high;True;False;78.5;92.3;89.1;85.6;53.4;67.0;78.7;86.0;81.7;2.2;83.8;74.9;-6.9;En baisse;Moyenne;3.0;60.9;15.0;En hausse
85041;A. Gouiri;81;Marseille;Marseille / Rennes;Attacker;2102.0;high;True;False;93.3;91.1;83.0;67.2;36.9;41.3;77.0;87.5;81.2;2.2;83.4;85.6;-6.1;En baisse;Élevée;5.0;75.6;5.3;En hausse
325594;F. Lemaréchal;95;Strasbourg;Strasbourg / Monaco;Midfielder;1788.0;high;True;False;82.0;93.1;90.1;82.6;85.1;71.1;84.9;75.6;81.2;2.1;83.3;77.5;-2.4;Stable;Élevée;5.0;44.5;-15.0;En baisse
335051;João Neves;85;Paris Saint Germain;Paris Saint Germain;Midfielder;1857.0;high;True;False;77.4;67.2;83.7;77.0;81.5;87.2;78.4;85.0;81.0;2.1;83.1;67.0;-3.0;En baisse;Moyenne;4.0;60.9;15.0;En hausse
161747;G. Doué;95;Strasbourg;Strasbourg / Rennes;Defender;2716.0;high;True;False;62.5;54.9;75.3;81.7;90.2;87.9;83.2;75.9;80.3;2.1;82.4;69.6;4.6;En hausse;Élevée;5.0;44.5;-15.0;En baisse
20732;G. Perrin;108;Auxerre;Auxerre;Attacker;2704.0;high;True;False;86.6;91.6;88.3;75.4;54.3;53.9;79.1;81.5;80.1;2.1;82.2;75.9;-6.2;En baisse;Élevée;5.0;36.7;-4.0;En baisse
162466;S. Diomandé;108;Auxerre;Auxerre / Lyon;Defender;1945.0;high;True;False;75.9;54.9;69.4;82.2;92.4;87.8;84.2;73.5;79.9;2.1;82.1;62.3;-5.0;En baisse;Élevée;5.0;36.7;-4.0;En baisse
109;A. Golovin;91;Monaco;Monaco;Midfielder;1161.0;medium;True;False;77.8;85.7;75.4;86.1;78.0;76.8;80.5;78.8;79.8;2.1;81.9;;;;;;54.2;-1.3;Stable
22093;R. Cabella;79;Lille;Lille;Midfielder;1012.0;medium;True;False;67.4;88.9;85.0;78.9;74.6;81.3;80.7;78.3;79.7;2.1;81.8;77.7;;Non disponible;Faible;2.0;58.7;-6.7;En baisse
291649;Vanderson;91;Monaco;Monaco;Defender;2077.0;high;True;False;71.1;73.3;75.2;78.3;84.5;81.5;81.2;77.4;79.7;2.0;81.7;64.8;-6.8;En baisse;Élevée;5.0;54.2;-1.3;Stable
2781;M. Simon;83;Nantes;Nantes;Attacker;2626.0;high;True;False;84.0;88.5;90.1;77.6;49.3;64.4;80.4;77.8;79.4;2.0;81.4;73.8;7.0;En hausse;Élevée;5.0;53.1;10.7;En hausse
274300;M. Akliouche;91;Monaco;Monaco;Midfielder;2409.0;high;True;False;72.4;88.1;89.1;80.1;61.0;67.5;77.6;81.8;79.3;2.0;81.3;83.0;-6.3;En baisse;Élevée;5.0;54.2;-1.3;Stable
22097;A. Nordin;82;Montpellier;Montpellier;Attacker;1171.0;medium;True;False;84.6;74.3;77.0;80.3;64.2;85.4;81.8;74.9;79.0;2.0;81.0;;;;;;25.0;-2.7;Stable
9;A. Hakimi;85;Paris Saint Germain;Paris Saint Germain;Defender;2067.0;high;True;False;77.1;74.4;86.1;78.7;70.6;70.4;72.3;88.9;78.9;2.0;80.9;71.4;-4.2;En baisse;Faible;2.0;60.9;15.0;En hausse
283026;M. Biereth;91;Monaco;Monaco;Attacker;1237.0;medium;True;False;91.8;82.7;74.2;50.4;47.1;61.4;75.2;83.7;78.6;2.0;80.6;71.4;-0.5;Stable;Moyenne;4.0;54.2;-1.3;Stable
67889;H. Haraldsson;79;Lille;Lille;Midfielder;1765.0;high;True;False;80.4;86.2;82.9;82.5;61.3;70.3;77.8;79.7;78.5;2.0;80.5;71.4;1.1;Stable;Élevée;5.0;58.7;-6.7;En baisse
161904;B. Barcola;85;Paris Saint Germain;Paris Saint Germain;Attacker;2192.0;high;True;False;91.0;89.7;87.4;58.6;56.5;50.5;77.2;80.6;78.5;1.9;80.4;68.6;-12.0;En baisse;Élevée;5.0;60.9;15.0;En hausse
21497;L. Blas;94;Rennes;Rennes;Midfielder;2302.0;high;True;False;84.4;87.0;88.6;71.0;61.7;69.4;77.2;80.4;78.5;1.9;80.3;70.9;-5.0;En baisse;Moyenne;4.0;42.7;4.0;En hausse
