player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label;competition_id;competition_name;season;season_label
2490;J. Lerma;52;Crystal Palace;Crystal Palace;Midfielder;2290.0;high;True;False;56.0;53.0;58.7;69.5;76.0;71.9;64.0;72.2;67.3;-0.7;66.6;;;Non disponible;Non disponible;;62.8;2.7;Stable;39;Premier League;2024;2024-2025
2806;F. Schär;34;Newcastle;Newcastle;Defender;2937.0;high;True;False;67.6;54.0;41.7;66.3;69.6;52.7;61.7;75.2;67.1;-0.7;66.4;;;Non disponible;Non disponible;;40.8;-15.0;En baisse;39;Premier League;2024;2024-2025
18940;J. Stephens;41;Southampton;Southampton;Defender;1393.0;high;True;False;65.6;74.9;48.8;62.0;70.3;54.5;65.3;69.8;67.1;-0.7;66.4;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
1934;S. Berge;36;Fulham;Fulham;Midfielder;2232.0;high;True;False;51.1;65.6;56.1;70.7;69.3;62.4;63.5;72.2;67.0;-0.8;66.3;;;Non disponible;Non disponible;;42.3;4.0;En hausse;39;Premier League;2024;2024-2025
20457;C. Burgess;57;Ipswich;Ipswich;Defender;1540.0;high;True;False;56.6;54.5;60.1;43.4;65.7;67.2;62.5;73.7;67.0;-0.8;66.2;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
18805;A. Doucouré;45;Everton;Everton;Midfielder;2577.0;high;True;False;73.0;71.1;67.2;68.4;59.8;45.0;64.3;70.7;66.8;-0.8;66.0;;;Non disponible;Non disponible;;76.0;13.3;En hausse;39;Premier League;2024;2024-2025
567;Rúben Dias;50;Manchester City;Manchester City;Defender;2273.0;high;True;False;56.3;70.9;42.3;58.2;58.8;53.4;58.5;79.1;66.7;-0.8;65.9;;;Non disponible;Non disponible;;77.5;5.3;En hausse;39;Premier League;2024;2024-2025
22233;B. Soumaré;46;Leicester;Leicester;Midfielder;2171.0;high;True;False;42.7;54.9;57.7;82.7;71.2;72.2;64.6;69.5;66.6;-0.8;65.8;;;Non disponible;Non disponible;;51.1;1.3;Stable;39;Premier League;2024;2024-2025
32887;Y. Sugawara;41;Southampton;Southampton;Defender;1564.0;high;True;False;71.7;72.4;67.4;63.0;65.6;58.7;64.6;69.5;66.6;-0.9;65.7;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
930;Carlos Soler;48;West Ham;West Ham;Midfielder;1403.0;high;True;False;71.7;73.1;69.6;65.9;58.6;55.0;65.9;67.6;66.6;-0.8;65.7;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
